name,description,category,url
Student Chapter of the American College of Veterinary Internal Medicine,We are the Internal Medicine club at the veterinary school! We mainly focus on topics pertaining to veterinary internal medicine so others can understand what internal medicine entails. We accomplish this by hosting lunch and learns and planning wet labs so we can learn and gain as much hands-on…,Academic,https://gobblerconnect.vt.edu/internalmedicineclub/
Student Chapter of the American College of Veterinary Pathologists,"The Pathology Club at VA-MD Vet Med offers a variety of opportunities to students interested in non-traditional fields of veterinary medicine such as diagnostic labs, industry, government, etc.",Academic,https://gobblerconnect.vt.edu/vmcvmpathclub/
Student Chapter of the National Association for Black Veterinarians,"SNABV is a student chapter of the National Association for Black Veterinarians. Our mission is to create a safe, inclusive, and fun environment for black people within the Veterinary field. We have mentors, educate others, and give back to the community.",Academic,https://gobblerconnect.vt.edu/snabv/
Student Chapter of the Veterinary Emergency and Critical Care Society,"SCVECCS aims to provide educational opportunities for veterinary students interested in veterinary emergency and critical care. To do this, we inform students of educational opportunities in and out of school and have monthly talks/meetings!",Academic,http://www.vetmed.vt.edu/students/scveccs/index.html
Student Engineers' Council at Virginia Tech,"We are devoted to serving Virginia Tech Engineering's 10,000&#43; students and 100&#43; engineering student organizations through $280k&#43; in annual giving and 300&#43; corporate partners",Academic,https://www.sec.vt.edu
Student Mine Rescue at Virginia Tech,Student Mine Rescue at Virginia Tech is an organization for students interested in Mining and Minerals Engineering and Emergency Response situations in underground mining. We aim to learn the safest and fastest way to rescue miners who need help.,Academic,http://www.mining.vt.edu
Student Nutrition and Dietetics Association,Our mission is to provide students interested in nutrition and the dietetics profession with a community to engage in events and activities around campus and the community that will broaden personal experience and opportunities in the field of nutrition.,Academic,https://gobblerconnect.vt.edu/snda/
Student Outreach Program at Virginia Tech Carilion,This is an organization led by graduate and medical students where they get out in the Roanoke community to interact with locals with a goal to create more science awareness.,Academic,https://gobblerconnect.vt.edu/vsop/
Student Virginia Education Association,SVEA is a professional pre-service teacher organization.,Enthusiasts & Special Interests,https://gobblerconnect.vt.edu/studentvea/
Students for Justice in Palestine,"Students for Justice in Palestine (SJP) is a grassroots movement of students, faculty, staff, and community members dedicated to advancing justice, equity, and human rights, for the liberation and self-determination of the Palestinian people.",Advocacy & Awareness,https://gobblerconnect.vt.edu/vtsjp/
Students for Life at Virginia Tech,"Students for Life at Virginia Tech strives to support women during and after pregnancy, advocating for a culture that values and respects human life at all stages.",Advocacy & Awareness,https://gobblerconnect.vt.edu/studentsforlife/
Students For Racial Justice,"We are an organization focused on racial justice through education, reflection and action. All are welcome to join!",Advocacy & Awareness,https://gobblerconnect.vt.edu/studentsforracialjustice/
Students for Sensible Drug Policy,"Students for Sensible Drug Policy is an international grassroots network of students who are concerned about the impact drug use has on our communities, but who also know that the War on Drugs is failing our generation and our society.",Advocacy & Awareness,https://gobblerconnect.vt.edu/ssdpatvirginiatech/
Students for Sustainable Practice,"Welcome! If you're interested in learning about sustainability through a personal and professional lens as well as implementing sustainability values through in-depth, community focused projects, then you're in the right place!",Advocacy & Awareness,https://gobblerconnect.vt.edu/ssp/
Students for the Labor Movement,We raise awareness about the labor movement by educating our fellow students about national and local labor unions.,Advocacy & Awareness,https://gobblerconnect.vt.edu/slam/
Students Helping Honduras,Our mission is to alleviate violence and extreme poverty in Honduras through education and youth empowerment. Every winter SHH travels to Honduras to aid in the building of a school. &quot;You've never volunteered like this before.&quot;,Advocacy & Awareness,https://gobblerconnect.vt.edu/studentshelpinghonduras/
Students of Hip Hop Legacy,"To provide outlet opportunities for the creative mind, such as musicians, dancers, designers and artists and to educate students, faculty, and staff on the importance of hip hop and its impact on the current world.",Arts & Entertainment,http://www.linktr.ee/sohhl
Sudanese Student Organization at Virginia Tech,"The Sudanese Student Organization serves to foster awareness, understanding, and growth of Sudanese culture on campus while bringing the Sudani-American community together at Virginia Tech.",Cultural & International,https://gobblerconnect.vt.edu/sso/
SunChaser Film Festival,To put on a film festival that anyone in the NRV area can participate in or view.,Arts & Entertainment,https://gobblerconnect.vt.edu/sunchaser/
Sunset Chasers at Virginia Tech,Sunset Chasers is a club that provides a stress-free environment where students can bond with others while enjoying the beauty and wonder of Blacksburg's famous sunsets.,Recreation,https://gobblerconnect.vt.edu/sunsetchasers/
Super Smash Bros Club,"The Super Smash Bros. Club at Virginia Tech first and foremost aims to create an inclusive community for anyone with an interest in playing the fighting game Super Smash Brothers. To reach this goal, we host weekly tournaments that allow all skill levels to come together, play games, compete, and…",Enthusiasts & Special Interests,https://discord.gg/CjR6qJF5Qw
Surf Club at Virginia Tech,"Welcome to one of the sickest clubs at Virginia Tech! The Surf Club at VT is all about bringing the surfers and any lover of the beach together. If you enjoy wave riding as much as we do, join us for weekend trips when the swell is up and contests!",Recreation,https://gobblerconnect.vt.edu/surfclub/
Surgery Club VA-MD CVM,Surgery Club is a veterinary student club of the VA-MD CVM. The main goal of the club is to provide hands on opportunities for students as well as lectures and discussions on interesting surgical cases in order to expand our knowledge before we graduate.,Academic,https://gobblerconnect.vt.edu/surgeryclub/
Survivor at Virginia Tech,"Survivor at Virginia Tech is a student‑run Survivor fan club where anyone is welcome, whether you’ve watched every season or have never seen the show. We host weekly watch parties, fun socials, and even run our own full Survivor seasons right here on campus. Join us and connect with a community…",Enthusiasts & Special Interests,https://gobblerconnect.vt.edu/survivoratvirginiatech/
Sustainable Fashion Society at Virginia Tech,The Sustainable Fashion Society aims to foster a welcoming environment for Virginia Tech students dedicated to promoting eco-conscious fashion choices and educating members about sustainability. We invite everyone (regardless) of their major to join us!,Advocacy & Awareness,https://gobblerconnect.vt.edu/sustainablefashionvt/
Sustainable Land Development Club,A club for undergraduate Civil &amp; Environmental Engineering students interested in sustainability as it pertains to land development design - we are the student group affiliated with the Land Development Design Institute (LDDI) here at Virginia Tech.,Academic,https://gobblerconnect.vt.edu/sldc/
Swara,Co-ed South Asian fusion A Cappella team.,Arts & Entertainment,https://gobblerconnect.vt.edu/swara/
Swim Club at Virginia Tech,A competitive swim club open to members of all skill levels.,Recreation,https://gobblerconnect.vt.edu/swimclub/
Swine Club at Virginia Tech,"We are devoted to the swine industry and seek to promote learning about all aspects of swine use and care, from production to biomedical research. We welcome anyone who has an interest in pigs and the pork industry and offer tons of hands-on experience.",Academic,https://gobblerconnect.vt.edu/swineclubatvt/
Synapse at Virginia Tech,Synapse's mission is to connect individuals with brain injury through a peer support group and buddy program that builds deeper relationships with community members and raises awareness about brain injury.,Advocacy & Awareness,https://synapsevirginiatech.wixsite.com/synapsevt
Tackle Hunger,"Tackle Hunger at Virginia Tech unites students to fight against food insecurity through donation drives, awareness events, and support for local food pantries.",Advocacy & Awareness,https://gobblerconnect.vt.edu/tacklehunger/
Tae Kwon Do Club at Virginia Tech,"We are a club that practices the martial art of WT style Tae Kwon Do. Classes include sparring (controlled fighting), kicking, form, and self-defense, taught through traditional classes (Kukkiwon standard forms and conditioning).",Cultural & International,https://vttkdwebsite.wixsite.com/tkd-at-virginia-tech
Tap Ensemble at Virginia Tech,"A group of student who love to learn, teach, and perform tap dance.",Arts & Entertainment,https://gobblerconnect.vt.edu/tevt/
Tau Beta Pi - Engineering Honors Society,Tau Beta Pi is the national engineering honor society for engineering students who distinguish themselves both in scholarship and exemplary character. Our mission is to develop our members' professional skills and help them network.,Academic,http://www.taubetapi.org.vt.edu/
Tau Beta Sigma National Honorary Band Service Sorority Zeta Omicron Chapter,Zeta Omicron Chapter of Tau Beta Sigma - National Honorary Band Service Sorority,Arts & Entertainment,http://www.zovtreasurer.wixsite.com
Tau Sigma National Honor Society at Virginia Tech,Tau Sigma is an academic honor society designed specifically to recognize and promote the academic excellence and involvement of transfer students.,Arts & Entertainment,https://tausigmanhs.org
Team One Love at Virginia Tech,"Building a culture of healthy love at Virginia Tech. One Love is a peer-led organization focused on preventing relationship abuse through education, workshops, community, and campus-wide collaboration.",Advocacy & Awareness,https://gobblerconnect.vt.edu/teamonelove/
Team Tennis League at Virginia Tech,This is a tennis league for players of all skill levels who want the competitive atmosphere of a tennis team while being more competitive than intramural tennis.,Recreation,https://gobblerconnect.vt.edu/teamtennisleagueatvt/
Tech & Robotics in Construction Club,"TRC wants to explore the developing technologies that are used in the construction industry. TRC includes hands on work with robots, networking with industry leaders, real world applications, and access to experiment with robotics.",Academic,https://gobblerconnect.vt.edu/trc/
TechHackers at Virginia Tech,"This organization aims to provide a venue for hackers/engineers who love to develop, design and innovate. We provide a way for students to attend hackathons around the US, learn new skills, mentor students and just have fun being a super star engineer.",Enthusiasts & Special Interests,https://vthacks.com/
Technology Youth Empowerment,"Technology Youth Empowerment is committed to providing quality, curiosity-driven STEM education in a world that often prioritizes test scores over true understanding. We create hands-on learning spaces where students feel confident asking questions, exploring ideas, and building knowledge through…",Technology,https://gobblerconnect.vt.edu/TYE/
TechNotes A Cappella,TechNotes is a mixed a cappella group that performs that various events throughout the year. The group also holds a concert at the end of each semester. TechNotes was founded in 2010.,Arts & Entertainment,http://www.vttechnotes.com
The Alexander Hamilton Society at Virginia Tech,"AHS is a world-class, national organization platforming student- and guest speaker-led discussions on foreign policy open to all. We will face controversies head-on to help shape the next generation of American leadership with career opportunities.",Academic,https://gobblerconnect.vt.edu/ahs/
The Bacteriophage Club,"We are a club dedicated to spreading our love for phages (the viruses of bacteria) and science through journal club style meetings, hands on lab activities, and fun games and socials.",Academic,https://gobblerconnect.vt.edu/phagesforthewin/
The Big Event at Virginia Tech,"The Big Event promotes community engagement by organizing students to complete service projects throughout Blacksburg, Christiansburg and the New River Valley.",Service & Charity,https://engage.vt.edu/programs/bigevent.html
The Bigfoot Club at Virginia Tech,"There are thousands of sightings around the nation of a simian-like creature roaming our forests. Our goal, as amateur squatch hunters, is to hereby put this urban legend to rest by gathering evidence and hiking in the greater blacksburg area.",Enthusiasts & Special Interests,https://gobblerconnect.vt.edu/bfc/
The Bird Club at Virginia Tech,"Our club aims to connect fellow student birders with each other, educate students on the identification and life history of birds, and host weekly field trips with supplemental bi-monthly bird club meetings.",Enthusiasts & Special Interests,https://gobblerconnect.vt.edu/birdclubatvt/
The Comedy Conglomerate at Virginia Tech,"A physical space for comedy to exist on campus. Stand up comedy, sketch comedy, YouTube comedy, musical comedy, etc. comedy. Helping you find your funny!",Arts & Entertainment,https://gobblerconnect.vt.edu/comedyconglomerate/
The Consulting Group at Virginia Tech,The Consulting Club at Virginia Tech bridges the gap between the consulting world and Virginia Tech students.,Professional & Career Development,http://www.vtconsultinggroup.org
The Contemporary Dance Ensemble,"CDE's repertoire consists mostly of jazz, tap, lyrical, hip-hop, modern, and contemporary. Weekly classes are offered to the public, while members of this organization rehearse and choreograph for performances to grow in our passion for dance.",Arts & Entertainment,https://thecdevt.weebly.com/
The Diabetes Link at Virginia Tech,We are a strong support network that helps students navigate diabetes while advocating for better campus awareness.,Advocacy & Awareness,https://gobblerconnect.vt.edu/thediabeteslink/
The Diggeridoos at Virginia Tech,"We are an internationally awarded team that competes in The Not-a-Boring Competition, hosted by Elon Musk's The Boring Company. The goal: to design and build a tunnel boring machine (TBM).",Academic,https://www.diggeridoos.com/
The Forestry Club at Virginia Tech,"VTFC is a group of students, primarily from the College of Natural Resources, that competes in Timbersport Competitions across the Southeast. We also sell firewood to locals in the Blacksburg area.",Campus Spirit & Traditions,https://sites.google.com/vt.edu/forestry-club-at-vt/home?authuser=0
The GAVEL Society at Virginia Tech,"Currently, black attorneys make up approximately 5% of the total population of attorneys in the U.S. despite black citizens accounting for roughly 32% of all incarcerations. The purpose of the G.A.V.E.L. Society seeks to increase the percentage of black attorneys in the U.S. as a way of increasing…",Academic,https://gobblerconnect.vt.edu/GAVEL/
The Highty-Tighties,The Virginia Tech Corps of Cadets Regimental Band. We have been a part of the VTCC since 1892 and are an all cadet organization.,Arts & Entertainment,http://www.band.vtcc.vt.edu/
The Italian Club at Virginia Tech,The Italian Club at Virginia Tech is a community for all those who appreciate the culture and/or language of Italy. Italian students benefit especially from the club. We welcome all students who want to join!,Cultural & International,https://gobblerconnect.vt.edu/italianclubvt/
The Knights of Columbus at Virginia Tech,"The Knights for Columbus at Virginia Tech are a service-oriented organization that focus on raising money for charity organizations, especially those that serve expecting mothers, single mothers, and widows. While these charities are the ones we focus our efforts towards, we raise money for many…",Service & Charity,https://gobblerconnect.vt.edu/KOCVT/
The Kurdish Student Association at Virginia Tech,"The Kurdish Student Association educates Hokies about Kurdish culture and history, fosters unity within the Kurdish community at VT, and welcomes individuals from all backgrounds—creating a diverse and inclusive family that celebrates all cultures.",Cultural & International,https://gobblerconnect.vt.edu/ksavt/
The Marching Virginians,The Spirit of Tech,Arts & Entertainment,https://www.spiritoftech.com
The Mountaineering Club,"To provide students with the necessary access, equipment, and knowledge, to embark into the extreme sport of mountaineering.",Enthusiasts & Special Interests,https://gobblerconnect.vt.edu/TMC/
The Percussion Club at Virginia Tech,This club is designed to help strengthen community involvement in music and give students the chance to learn more about percussive arts. We aim to show Ut Prosim by serving the School of Performing Arts and percussionists throughout Virginia Tech.,Arts & Entertainment,https://www.facebook.com/vtpercussion/
The Performing Arts Guild at Virginia Tech,"The Performing Arts Guild at Virginia Tech is a student-led organization dedicated to expandingaccess to the performing arts to Virginia Tech students and the larger Blacksburg community.We exist to do four things: give students access to the resources to create, perform, andproduce at a higher…",Academic,https://gobblerconnect.vt.edu/pagvt/
The Rocky Horror Fan Club at Virginia Tech,A club dedicated to shadowcasting The Rocky Horror Picture Show and various other movies during the school year. Meetings: Thursdays at 8pm in McBryde 100.,Arts & Entertainment,http://www.tollsofmadness.com/
The Seekers Collective at Virginia Tech,"A community of seekers at Virginia Tech exploring life’s purpose through open, spiritual, and thoughtful dialogue. We turn reflection into action through service, growth, and leadership. We are welcoming of all backgrounds and perspectives.",Cultural & International,https://gobblerconnect.vt.edu/seekerscollective/
The Society of Hospitality Ownership and Real Estate at Virginia Tech,"“The Society of Hospitality Ownership and Real Estate (SHORE) works to develop students into industry‑ready leaders by exploring how hospitality assets are developed, financed, and operated. We foster a collaborative community focused on professional growth, market awareness, and real‑world…",Professional & Career Development,https://gobblerconnect.vt.edu/SHOREVT/
The Society of Physics Students at Virginia Tech,This club is open to all majors and works to cultivate our members' interest in physics! We are the Virginia Tech chapter of the national SPS organization.,Academic,https://sites.google.com/vt.edu/virginia-tech-sps/home
The Stone Retreat,"The mission of The Stone Retreat to help incoming freshmen and transfer students start college rooted in Christ, strengthen through Christ centered community and bearing fruit on Virginia Tech's campus and beyond.",Religious,https://gobblerconnect.vt.edu/Stone/
The Thomistic Institute at Virginia Tech,"Thomistic Institute chapters are on-campus, academic clubs formed and run by students to bring top-notch Christian intellectuals to their university campuses.",Academic,https://groupme.com/join_group/84663965/6b24sjmS
The Wellness Society at Virginia Tech,"Welcome to The Wellness Society, where we are committed to redefining the college experience by establishing a culture that celebrates self-care, resilience, and holistic health!",Recreation,https://gobblerconnect.vt.edu/vtwellnesssociety/
The Who Am I Project,"We aim to serve long-term care residents of the New River Valley with a more personalized healthcare experience by completing a short questionnaire with them. This questionnaire will be added to their medical transcripts, providing future healthcare professionals with a strong patient overview of…",Advocacy & Awareness,https://gobblerconnect.vt.edu/WAI/
The Wildlife Disease Association Student Chapter at Virginia Tech,"The mission of the Wildlife Disease Association is to gain, share, and apply knowledge and experience relating to fish and wildlife diseases in Virginia and beyond for the purpose of public health and conservation.",Academic,https://sites.google.com/vt.edu/wdavt/home
"The Wildlife Society, Student Chapter at Virginia Tech","The mission of the Student Chapter of the Wildlife Society at Virginia Tech is to promote professionalism in our membership through experience, networking, conservation awareness and education in a fun and enjoyable atmosphere.",Academic,https://vttws-g.wixsite.com/vt-tws
The Women's Law Society at Virginia Tech,"The Women’s Law Society at Virginia Tech is to provide support for the diverse population of women passionate about the legal field by aiding in educational, professional, social, and community development and guidance.",Academic,https://gobblerconnect.vt.edu/thewlsatvt/
The Women's Network at Virginia Tech,"The largest, most engaging collegiate women’s network nationwide – connecting women to professionals and preparing future leaders.Go to https://www.thewomens.network/jointwn to become an official member!WE DO NOT KEEP GOBBLERCONNECT UPDATED WITH EVENTS! Follow us on Instagram…",Professional & Career Development,https://www.instagram.com/thewomensnetwork_virginiatech/
The Writers' Bloc,"Our goal is to amplify the community engagement of the Creative Writing programs at Virginia Tech while also offering professionalization opportunities to students and committee members. As of now, there are small organizations at Virginia Tech that host infrequent creative writing opportunities…",Professional & Career Development,https://gobblerconnect.vt.edu/TWB/
The Wug Club at Virginia Tech,"We are a club for discussing linguistics at both a social and academic level! We are also interested in public outreach. All are welcome, regardless of linguistics experience!",Academic,https://gobblerconnect.vt.edu/wugclubatvt/
Theme Park Engineering and Design,"An organization open to students who enjoy theme parks, amusement rides, and/or roller coasters. The organization offers professional opportunities and social events with others that share the same passion, regardless of major or year.",Enthusiasts & Special Interests,https://sites.google.com/view/tpedvt/home?authuser=0
Theriogenology Club,"The Theriogenology Club allows veterinary students to expand their knowledge in reproductive medicine for all species. The club offers rounds, meetings, and wet labs to allow the students hands on experience.",Professional & Career Development,https://gobblerconnect.vt.edu/therioclub/
Trail and Ultrarunning Club at Virginia Tech,"We are a group of enthusiastic students whose passions lie wherever running trails takes us. Many of us focus on training for ultramarathons, but we welcome runners of any ability to join us!",Enthusiasts & Special Interests,https://ultravt.gitlab.io
True Colors at Virginia Tech,"True Colors is a space for anyone student at VT who identifies as non-cisgender (transgender, non-binary, etc.), gender non-conforming, and/or gender questioning, or otherwise part of the trans community.",Advocacy & Awareness,https://gobblerconnect.vt.edu/truecolors/
Turkish Student Association,Turkish Student Association is a social and cultural organization created to promote awareness about Turkish culture and appreciation for cultural diversity at Virginia Tech.,Cultural & International,https://gobblerconnect.vt.edu/tsavt/
Turning Point USA,Turning Point USA at Virginia Tech is a political organization that aims to educate and mobilize students to preserve liberty on our campus and engage in the political system through voting and activism.,Advocacy & Awareness,https://www.tpusa.com/
UKirk Ministry at Virginia Tech,"UKirk Ministry at Virginia Tech is located in Cooper House off of Washington Street. It is a safe place of community, fellowship, worship, and service. We strive to grow stronger in our faith, and stronger together.",Advocacy & Awareness,https://gobblerconnect.vt.edu/ukirkvt/
Ultimate Club at Virginia Tech,"A team that shares a common goal of competing at the most competitive Ultimate Frisbee tournaments on the East Coast. In order to remain a competitive team in the region, we practice 3-4 times a week and attend 3-4 tournaments a semester.",Recreation,https://gobblerconnect.vt.edu/ultimateclub/
Undergraduate Biomedical Engineering Society at Virginia Tech,"UBES and its members encourage the development and utilization of knowledge in the biomedical engineering field, we enhance interaction within the scientific community.",Academic,https://gobblerconnect.vt.edu/ubes/
Undergraduate Law Review at Virginia Tech,"The Virginia Tech Undergraduate Law Review is a student-run publication founded in 2026 at Virginia Polytechnic Institute and State University. We exist to give undergraduate students a rigorous, serious venue to engage with the law — to research it, write about it, and push its boundaries.We…",Academic,https://gobblerconnect.vt.edu/VTULR/
Undergraduate Public Health Association at Virginia Tech,We are undergraduate students raising awareness and promoting professionalism in Public Health.,Academic,https://gobblerconnect.vt.edu/upha/
Undergraduate Student Senate at Virginia Tech,"As part of shared governance at Virginia Tech, USS representatives (President, VPs, Senators, and Directors) work to understand and advocate for the needs of their constituencies and improve the undergraduate student experience at Virginia Tech.",Advocacy & Awareness,https://uss.vt.edu/
Undergraduate Students for Hospice Volunteering at Virginia Tech,USHV @ Virginia Tech strives to service hospice patients in the New River Valley region by partnering with Medi Hospice to connect students with patients and raise awareness about the importance of hospice and palliative care through campus-wide events.,Academic,https://groupme.com/join_group/105699435/mk3tEJSK?fbclid=PAZXh0bgNhZW0CMTEAAaZq-HlO9esuOF9mgp2FJd_gnOiFuCCpTr_KadyF6L2lsFzujloUyi8UJxQ_aem_a_7dkQeC3EE2ucmmPQu7UA
UNICEF Club at Virginia Tech,"UNICEF is a non-profit organization that works to deliver the essentials that give our most vulnerable population, children, an equitable chance in life: health care, safe water, nutrition, education, emergency relief, and more.",Advocacy & Awareness,https://gobblerconnect.vt.edu/unicef/
United Against Inequities in Disease at Virginia Tech,"Chapter of the national nonprofit, United Against Inequities in Disease, at Virginia Tech",Academic,https://gobblerconnect.vt.edu/unitedagainstinequitiesindisease/
United Council of Fraternities and Sororities,"The United Council of Fraternities and Sororities strives to provide an inclusive Greek community through advocating for intercultural exchange by fostering the development of scholarship, leadership, and membership in the spirit of Ut Prosim.",Cultural & International,https://fsl.vt.edu/organizations/councils/ucfs.html
United Feminist Movement,"United Feminist Movement is an organization centered around intersectional feminism that believes in equity for underrepresented communities and identities. UFM advocates for social justice issues through education, activism, and community outreach.",Advocacy & Awareness,https://gobblerconnect.vt.edu/ufmvt/
Uno Club at Virginia Tech,We meet every week an play Uno at 6:30 in Davidson room 325! Our goal is to create a fun &amp; friendly environment for any and all Virginia Tech Students. Join our GroupMe (posted below) or send an email for info on meetings!,Arts & Entertainment,https://gobblerconnect.vt.edu/unoclub/
USITT Student Chapter at Virginia Tech,"USITT is a student group focused on supporting the development of theatrical technicians and designers. The group is associated with the national technical theater organization USITT, United States Institute for Theatre Technology.",Arts & Entertainment,https://linktr.ee/vt_usitt?utm_source=linktree_profile_share&ltsid=c251d2e3-1856-448b-ab62-2261ac77b849
Ut Prosim Ukraine at Virginia Tech,We are a fundraising organization that raises money for decentralizing the Ukrainian power grid and donating material aid for the citizens of Ukraine to help them through the Russian invasion.,Academic,https://gobblerconnect.vt.edu/organization/UkrAID
Valiant Indoor Guard at Virginia Tech,"Indoor guard is a competitive, performance-based activity that includes dance, flag, rifle, and sabre techniques used in routines that make up a show and performed at several competitions across Virginia and North Carolina throughout the spring semester.",Arts & Entertainment,https://gobblerconnect.vt.edu/valiant/
Valor,"Valor is the branch of CRU for cadets/midshipmen, and we meet regularly throughout the week in both small and large groups.",Religious,https://gobblerconnect.vt.edu/valor/
Valorant at Virginia Tech,"Valorant at Virginia Tech aspires to bring together students who are interested and passionate about Valorant, in developing a club with a strong sense of community. Furthermore, we aim to provide a casual and competitive experience for all members.",Advocacy & Awareness,https://gobblerconnect.vt.edu/valvt/
Venezuelan Student Organization,"VSO unites Venezuelan students at Virginia Tech, fostering cultural pride, community, and support. Through events, outreach, and collaboration, we celebrate our heritage and create lasting connections.",Cultural & International,https://gobblerconnect.vt.edu/vso/
Vêtement De Rue,Streetwear Fashion Club Putting on an Annual Fashion Show Showcasing New Designs and Raising Awareness for Social Issues.,Arts & Entertainment,https://gobblerconnect.vt.edu/vdr/
Veterinarians as One Inclusive Community for Empowerment at the Virginia-Maryland Regional College of Veterinary Medicine,"VOICE seeks to increase awareness, respect, and sensitivity to differences among all individuals and communities in the field of veterinary medicine. VOICE also aims to celebrate diversity within our profession.",Advocacy & Awareness,https://gobblerconnect.vt.edu/voicevmcvm/
Veterinary Business Management Association,The VBMA is a student driven organization dedicated to advancing the profession through: •Increasing business knowledge •Creating networking opportunities •Empowering students to achieve their personal and professional goals,Professional & Career Development,https://gobblerconnect.vt.edu/vbma/
Veterinary Imaging Club at the Virginia-Maryland College of Veterinary Medicine,To foster veterinary student engagement and interest in the field of radiology and provide opportunities for experience with different imaging modalities.,Other,https://gobblerconnect.vt.edu/veterinaryimagingatvmcvm/
Vibe Coding at Virginia Tech,"Vibe Coding at Virginia Tech creates an inclusive, student-led space to explore programming and AI tools. Through workshops, projects, and hackathon-style events, students will learn to use AI responsibly while building real-world skills and confidence.",Academic,https://gobblerconnect.vt.edu/vibecodingatvt/
Vietnamese Community at Virginia Tech,"Vietnamese students and scholars, Vietnamese language speakers, and friends surrounding Blacksburg.",Cultural & International,https://www.facebook.com/VTVietnamese
Vietnamese Student Association,"VSA works to promote the awareness and interest of the Vietnamese culture, its people, and its community. We strive towards promoting Asian/Vietnamese unity within the Hokie Community.",Cultural & International,https://vtvsa.net/
Virginia Tech Clay Target Team,"Our main focus is to educate collegiate students about the various disciplines of clay target shooting as a sport in a comfortable and safe environment. Also, we attend national competitions throughout the year against other highly competitive schools.",Recreation,http://www.vtclays.org.vt.edu
Virginia Tech Club Baseball,"The Virginia Tech Club Baseball team is affiliated with the Rec Sports program at Virginia Tech. As a member of the National Club Baseball Association, the Hokies compete in the Mid Atlantic North Conference.",Recreation,https://vtclubbaseball.weebly.com/
Virginia Tech Club Cross Country/Track & Field,"The Virginia Tech Club Cross Country/Track & Field team is a student-run organization that brings together athletes of all different skill levels to train in mileage, distance, sprint, and field event workouts, and compete together. No tryouts necessary!",Recreation,https://www.vtclubxctf.org
Virginia Tech Club Field Hockey,Virginia Tech Field Hockey is comprised of dedicated athletes who compete against varsity & other club teams. VTFH prides itself in unity both on & off the field. The club welcomes anyone who enjoys playing and is looking for fun & competitive recreation,Recreation,http://vtfieldhockey.org/
Virginia Tech Club Golf,The purpose of the Golf Club of Virginia Tech is to provide students an opportunity to play competitive golf in college while maintaining their current academic studies and social life.,Recreation,https://nextgengolf.org/app/teams/virginia-tech-club-golf
Virginia Tech Club Ice Hockey Team,"The Virginia Tech Club Ice Hockey team was formed in 1984 as a local men's league team based out of Roanoke. Since then, our team's success has continued to grow with the dedication our players have demonstrated to the program, and to each other.",Recreation,http://vticehockey.pointstreaksites.com/view/vticehockey
Virginia Tech Competitive Cheerleading,Virginia Tech Competitive Cheerleading is a club sports team that represents Virginia Tech in 3-5 cheerleading competitions during the year. The Virginia Tech Competitive Cheer team is made up of 20-25 athletes. Our team has been all-girl as well as coed in the past. Male and female students are…,Recreation,https://vtcompetitivecheer.weebly.com/
Virginia Tech Crew Team,"The Virginia Tech Rowing Club is a club sport, run by students through the Virginia Tech Recreational Sports Department. Comprised of both Men's/Women's Varsity and Novice teams, traveling to compete with other Club & NCAA Division teams.",Recreation,http://www.vtcrew.org
Virginia Tech Cricket Club,"Welcome to the Virginia Tech Cricket Club! We are an active sports organization committed to promoting the game of cricket within the Hokie community. Our club provides a space for students of all skill levels to come together, play, and improve their game.We hold regular practices every Monday,…",Recreation,http://www.vtcc.vt.edu/index.html
Virginia Tech Cycling Club,"The VT Cycling Team is a group of cyclists who participate in rides, races, and other cycling events within the Atlantic Coast Cycling Conference. All are welcome to join regardless of skill. We compete in Road, Track, Mountain, and Cyclocross events.",Recreation,http://www.virginiatechcycling.com/
Virginia Tech Gymnastics Club,Club gymnastics practices in Christiansburg at Virginia Techniques and travels to other universities to compete. Club gymnastics accepts all skill and participation levels.,Recreation,http://vtgymnastics.weebly.com/
Virginia Tech Men's Club Soccer,"Virginia Tech Men's Club Soccer Team is a competitive travel team which competes against other schools across the country. For info, visit http://vtclubsoccer.weebly.com/",Recreation,https://vtclubsoccer.weebly.com/
Virginia Tech Men's Club Tennis,We are a competitive tennis team that competes with other collegiate club teams across the nation.,Recreation,https://vtclubtennis.weebly.com/
Virginia Tech Men's Club Water Polo,Men's Club Water Polo Team that represents Virginia Tech in the Collegiate Water Polo Association,Recreation,https://vtwaterpolo.wixsite.com/vtwaterpolo
Virginia Tech Men's Lacrosse,The Virginia Tech Men's Lacrosse Team is a competitive team for experienced lacrosse players. The team travels across the country and plays at the highest level of collegiate club lacrosse.,Recreation,https://www.virginiatechlacrosse.org/
Virginia Tech Men's Rugby,Virginia Tech Men's Rugby Football Club,Recreation,http://www.virginiatechmensrugby.com
Virginia Tech Men's Volleyball Club,Our club involves playing volleyball at a high level and playing teams all over the country. We pride ourselves as being very hardworking and playing to be a top team in the country.,Recreation,http://vtmensvolleyball.weebly.com
Virginia Tech Rescue Squad,We are the Emergency Medical Services agency proudly serving the campus of Virginia Tech 24/7/365.,Service & Charity,http://www.rescue.vt.edu/
Virginia Tech Roller Hockey,The Virginia Tech Roller Hockey team competes in Division III of the SECRHL as a part of the NCRHA. They compete against teams primarily on the east coast and in playoff events at the Regional and National levels.,Recreation,https://gobblerconnect.vt.edu/vtrh/
